alert_key,medication_key,stock_after_txn,critical_stock_level,alert_message,created_at,is_resolved,resolved_at,resolved_note
44,31,13,20,Critical stock reached for BETAMETAZON_. Current stock: 13,2026-05-13 01:48:13,0,,
45,31,11,20,Critical stock reached for BETAMETAZON_. Current stock: 11,2026-05-13 01:48:13,0,,
46,31,10,20,Critical stock reached for BETAMETAZON_. Current stock: 10,2026-05-13 01:48:13,0,,
47,31,7,20,Critical stock reached for BETAMETAZON_. Current stock: 7,2026-05-13 01:48:13,0,,
48,23,0,16,Critical stock reached for KALSIYUM_+_D. Current stock: 0,2026-05-13 01:48:13,0,,
49,31,4,20,Critical stock reached for BETAMETAZON_. Current stock: 4,2026-05-13 01:48:13,0,,
50,16,18,27,Critical stock reached for DICLOFENAC_7. Current stock: 18,2026-05-13 01:48:13,0,,
51,19,0,29,Critical stock reached for SUMATRIPTAN_. Current stock: 0,2026-05-13 01:48:13,0,,
52,21,0,24,Critical stock reached for NAPROXEN_500. Current stock: 0,2026-05-13 01:48:13,0,,
53,16,14,27,Critical stock reached for DICLOFENAC_7. Current stock: 14,2026-05-13 01:48:13,0,,
54,31,3,20,Critical stock reached for BETAMETAZON_. Current stock: 3,2026-05-13 01:48:13,0,,
55,31,2,20,Critical stock reached for BETAMETAZON_. Current stock: 2,2026-05-13 01:48:13,0,,
56,31,0,20,Critical stock reached for BETAMETAZON_. Current stock: 0,2026-05-13 01:48:13,0,,
57,16,12,27,Critical stock reached for DICLOFENAC_7. Current stock: 12,2026-05-13 01:48:13,0,,
58,16,9,27,Critical stock reached for DICLOFENAC_7. Current stock: 9,2026-05-13 01:48:13,0,,
59,16,8,27,Critical stock reached for DICLOFENAC_7. Current stock: 8,2026-05-13 01:48:13,0,,
60,16,7,27,Critical stock reached for DICLOFENAC_7. Current stock: 7,2026-05-13 01:48:13,0,,
61,16,6,27,Critical stock reached for DICLOFENAC_7. Current stock: 6,2026-05-13 01:48:13,0,,
62,16,4,27,Critical stock reached for DICLOFENAC_7. Current stock: 4,2026-05-13 01:48:13,0,,
63,16,1,27,Critical stock reached for DICLOFENAC_7. Current stock: 1,2026-05-13 01:48:13,0,,
64,16,0,27,Critical stock reached for DICLOFENAC_7. Current stock: 0,2026-05-13 01:48:13,0,,
65,36,15,16,Critical stock reached for VITAMIN_C_50. Current stock: 15,2026-05-13 01:48:13,0,,
66,36,14,16,Critical stock reached for VITAMIN_C_50. Current stock: 14,2026-05-13 01:48:13,0,,
67,36,13,16,Critical stock reached for VITAMIN_C_50. Current stock: 13,2026-05-13 01:48:13,0,,
68,36,10,16,Critical stock reached for VITAMIN_C_50. Current stock: 10,2026-05-13 01:48:13,0,,
69,36,6,16,Critical stock reached for VITAMIN_C_50. Current stock: 6,2026-05-13 01:48:13,0,,
70,36,4,16,Critical stock reached for VITAMIN_C_50. Current stock: 4,2026-05-13 01:48:13,0,,
71,36,1,16,Critical stock reached for VITAMIN_C_50. Current stock: 1,2026-05-13 01:48:13,0,,
72,39,25,25,Critical stock reached for B12_VITAMINI. Current stock: 25,2026-05-13 01:48:13,0,,
73,39,22,25,Critical stock reached for B12_VITAMINI. Current stock: 22,2026-05-13 01:48:13,0,,
74,39,18,25,Critical stock reached for B12_VITAMINI. Current stock: 18,2026-05-13 01:48:13,0,,
75,39,15,25,Critical stock reached for B12_VITAMINI. Current stock: 15,2026-05-13 01:48:13,0,,
76,39,14,25,Critical stock reached for B12_VITAMINI. Current stock: 14,2026-05-13 01:48:13,0,,
77,39,10,25,Critical stock reached for B12_VITAMINI. Current stock: 10,2026-05-13 01:48:13,0,,
78,38,17,17,Critical stock reached for ANTIHISTAMIN. Current stock: 17,2026-05-13 01:48:13,0,,
79,39,7,25,Critical stock reached for B12_VITAMINI. Current stock: 7,2026-05-13 01:48:13,0,,
80,39,5,25,Critical stock reached for B12_VITAMINI. Current stock: 5,2026-05-13 01:48:13,0,,
81,38,16,17,Critical stock reached for ANTIHISTAMIN. Current stock: 16,2026-05-13 01:48:13,0,,
82,39,4,25,Critical stock reached for B12_VITAMINI. Current stock: 4,2026-05-13 01:48:13,0,,
83,38,14,17,Critical stock reached for ANTIHISTAMIN. Current stock: 14,2026-05-13 01:48:13,0,,
84,36,0,16,Critical stock reached for VITAMIN_C_50. Current stock: 0,2026-05-13 01:48:13,0,,
85,38,13,17,Critical stock reached for ANTIHISTAMIN. Current stock: 13,2026-05-13 01:48:13,0,,
86,39,0,25,Critical stock reached for B12_VITAMINI. Current stock: 0,2026-05-13 01:48:13,0,,
87,38,11,17,Critical stock reached for ANTIHISTAMIN. Current stock: 11,2026-05-13 01:48:13,0,,
88,4,16,17,Critical stock reached for BISOPROLOL_5. Current stock: 16,2026-05-13 01:48:13,0,,
89,20,25,27,Critical stock reached for LEVETIRACETA. Current stock: 25,2026-05-13 01:48:13,0,,
90,38,10,17,Critical stock reached for ANTIHISTAMIN. Current stock: 10,2026-05-13 01:48:13,0,,
91,38,8,17,Critical stock reached for ANTIHISTAMIN. Current stock: 8,2026-05-13 01:48:13,0,,
92,38,5,17,Critical stock reached for ANTIHISTAMIN. Current stock: 5,2026-05-13 01:48:13,0,,
93,4,14,17,Critical stock reached for BISOPROLOL_5. Current stock: 14,2026-05-13 01:48:13,0,,
94,20,22,27,Critical stock reached for LEVETIRACETA. Current stock: 22,2026-05-13 01:48:13,0,,
95,20,19,27,Critical stock reached for LEVETIRACETA. Current stock: 19,2026-05-13 01:48:13,0,,
96,4,12,17,Critical stock reached for BISOPROLOL_5. Current stock: 12,2026-05-13 01:48:13,0,,
97,4,11,17,Critical stock reached for BISOPROLOL_5. Current stock: 11,2026-05-13 01:48:13,0,,
98,4,9,17,Critical stock reached for BISOPROLOL_5. Current stock: 9,2026-05-13 01:48:13,0,,
99,20,16,27,Critical stock reached for LEVETIRACETA. Current stock: 16,2026-05-13 01:48:13,0,,
100,38,2,17,Critical stock reached for ANTIHISTAMIN. Current stock: 2,2026-05-13 01:48:13,0,,
101,20,14,27,Critical stock reached for LEVETIRACETA. Current stock: 14,2026-05-13 01:48:13,0,,
102,20,10,27,Critical stock reached for LEVETIRACETA. Current stock: 10,2026-05-13 01:48:13,0,,
103,1,15,15,Critical stock reached for ASPIRIN_100M. Current stock: 15,2026-05-13 01:48:13,0,,
104,1,11,15,Critical stock reached for ASPIRIN_100M. Current stock: 11,2026-05-13 01:48:13,0,,
105,20,7,27,Critical stock reached for LEVETIRACETA. Current stock: 7,2026-05-13 01:48:13,0,,
106,20,3,27,Critical stock reached for LEVETIRACETA. Current stock: 3,2026-05-13 01:48:13,0,,
107,1,10,15,Critical stock reached for ASPIRIN_100M. Current stock: 10,2026-05-13 01:48:13,0,,
108,1,6,15,Critical stock reached for ASPIRIN_100M. Current stock: 6,2026-05-13 01:48:13,0,,
109,1,2,15,Critical stock reached for ASPIRIN_100M. Current stock: 2,2026-05-13 01:48:13,0,,
110,38,0,17,Critical stock reached for ANTIHISTAMIN. Current stock: 0,2026-05-13 01:48:13,0,,
111,20,2,27,Critical stock reached for LEVETIRACETA. Current stock: 2,2026-05-13 01:48:13,0,,
112,1,0,15,Critical stock reached for ASPIRIN_100M. Current stock: 0,2026-05-13 01:48:13,0,,
113,4,5,17,Critical stock reached for BISOPROLOL_5. Current stock: 5,2026-05-13 01:48:13,0,,
114,4,4,17,Critical stock reached for BISOPROLOL_5. Current stock: 4,2026-05-13 01:48:13,0,,
115,4,0,17,Critical stock reached for BISOPROLOL_5. Current stock: 0,2026-05-13 01:48:13,0,,
116,26,26,27,Critical stock reached for DEMIR_SÜLFAT. Current stock: 26,2026-05-13 01:48:13,0,,
117,20,0,27,Critical stock reached for LEVETIRACETA. Current stock: 0,2026-05-13 01:48:13,0,,
118,26,22,27,Critical stock reached for DEMIR_SÜLFAT. Current stock: 22,2026-05-13 01:48:13,0,,
119,26,21,27,Critical stock reached for DEMIR_SÜLFAT. Current stock: 21,2026-05-13 01:48:13,0,,
